pair,strategy,sentence_index_0based,has_public_source_reference,alignment_similarity,sample_id,source_text,reference_translation,meprs_model,meprs_model_name,bleurt_best_model,bleurt_best_model_name,best_single_model_for_condition,best_single_model_name,meprs_bleurt,bleurt_best_score,gap_to_bleurt_best,gap_to_best_single_model_at_sentence,meprs_reviewer_sum,bleurt_best_reviewer_sum,meprs_translation,bleurt_best_translation,reviewer_note_zh
zh-en,it,72,False,,,,,G35,GPT-3.5-Turbo,GP,Gemini-Pro,C35,Claude-3.5-Sonnet,64.16897177696228,69.99489665031433,5.825924873352051,-4.847627878189087,0.0,0.0,"The effect is still there, but whether it is obvious or not depends on the individual, or it may be psychological.","The effect is still there, but whether it is obvious or not depends on the individual, or it could be a psychological effect.",
en-ru,it,71,False,,,,,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,85.52552461624146,91.29617810249329,5.770653486251831,5.770653486251831,0.0,0.0,"Ваш случай: Однако, если вы хотите подать запрос на возврат, я также могу вам помочь.","Однако, если вы хотите оформить запрос на возврат, я также могу вам помочь",
en-ru,tear,7,True,1.0,,,,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C3,Claude-3-Opus,80.63680529594421,86.32510304450989,5.688297748565674,5.688297748565674,0.0,0.0,"Спасибо за обращение в #PRS_ORG#, мне было приятно помочь вам сегодня.","Спасибо, что обратились в #PRS_ORG#, я была рада помочь вам сегодня.",
de-en,it,142,False,,,,,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C3,Claude-3-Opus,70.97671031951904,76.4794409275055,5.50273060798645,5.50273060798645,0.0,0.0,Your gut feeling says that the missing woman is not in the river.,Gut feeling says missing woman is not in the river.,
en-ru,tear,69,True,0.9524,en_de_CLIENT-01_default_2021-01-10-57_doc0,"Please kindly fill this in if you have a moment, however if you don't have time then may I wish you a wonderful day and thank you again.","Пожалуйста, заполните ее, если у Вас есть свободное время, однако, если Вам некогда, желаю Вам хорошего дня и снова благодарю Вас.",G35,GPT-3.5-Turbo,G4o,GPT-4o,C3,Claude-3-Opus,73.43097925186157,78.7278413772583,5.2968621253967285,1.714920997619629,0.0,0.0,"Пожалуйста, заполните это, если у вас есть минутка, но если у вас нет времени, позвольте пожелать вам замечательного дня и еще раз спасибо.","Пожалуйста, будьте добры заполнить это, если у вас есть время, однако если у вас нет времени, то желаю вам прекрасного дня и еще раз благодарю вас.",
en-he,it,143,False,,,,,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,87.49299645423889,92.51399636268616,5.020999908447266,4.5973896980285645,0.0,0.0,המקרה שלך: מי הם המדענים ואיך ביצעו את המחקר?,מי המדענים וכיצד הם ערכו את המחקר?,
en-he,tear,43,False,,,,,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,G4o,GPT-4o,88.62151503562927,93.42150092124939,4.799985885620117,4.65923547744751,0.0,0.0,"כל זה צריך לעשות לא רק כדי לתקשר בצורה נכונה ומוצלחת יותר, אלא גם כדי לאסוף באופן קבוע המון מידע שיכול למנוע את ההתדרדרות הבאה.","כל זאת יש לעשות לא רק כדי לתקשר באופן נכון יותר ומוצלח יותר, אלא גם כדי לאסוף באופן מתמיד מידע רב שעשוי למנוע את ההידרדרות הבאה.",
en-de,tear,33,True,1.0,manlycoffee.110351250115060992,Could it be that Google Search is integrated with Google Maps?,"Könnte es sein, dass die Google Suche in Google Maps integriert ist?",G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C3,Claude-3-Opus,84.12250876426697,88.90538215637207,4.7828733921051025,4.7828733921051025,0.0,0.0,"Könnte es sein, dass die Google-Suche mit Google Maps integriert ist?","Könnte es sein, dass die Google-Suche in Google Maps integriert ist?",
en-ru,tear,6,True,1.0,en_de_CLIENT-02_default_2021-02-07-7_doc0,I will be more than happy to assist you.,Для меня было бы большей радостью помочь Вам.,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C3,Claude-3-Opus,93.97667646408081,98.66426587104797,4.687589406967163,-4.702967405319214,1.8015791177749634,1.8015791177749634,Я буду очень рад помочь вам.,Я буду более чем рад помочь вам.,
de-en,it,71,True,1.0,pa.35733,Bidens Justizministerium „will keine bewaffneten Bürger“,Biden DOJ 'Doesn't Want an Armed Citizenry',C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,C3,Claude-3-Opus,66.86639189720154,71.4765727519989,4.610180854797363,0.0,0.9010481238365173,0.9010481238365173,"Biden's Justice Department ""does not want armed citizens""","Biden's Justice Department ""doesn't want armed citizens""",
de-en,tear,71,True,1.0,pa.35733,Bidens Justizministerium „will keine bewaffneten Bürger“,Biden DOJ 'Doesn't Want an Armed Citizenry',C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,66.86639189720154,71.4765727519989,4.610180854797363,4.610180854797363,2.703144371509552,2.703144371509552,"Biden's Justice Department ""does not want armed citizens""","Biden's Justice Department ""doesn't want armed citizens""",
en-ru,tear,32,False,,,,,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C3,Claude-3-Opus,71.7397153377533,76.25597715377808,4.51626181602478,4.51626181602478,0.0,0.0,"Однако его можно использовать в качестве вспомогательного в текущих ситуациях, где тест на Омикрон методом ПЦР еще не разработан.","Однако его можно использовать в качестве вспомогательного средства в текущих ситуациях, когда ПЦР-тест на Омикрон еще не разработан.",
en-ru,tear,74,False,,,,,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C3,Claude-3-Opus,73.38570356369019,77.36710906028748,3.98140549659729,-1.3780057430267334,0.0,0.0,Совместимость с HDCP - Лицензионное соглашение HDCP (High Definition Content Protection) позволяет передавать защищенные данные с входа HDMI только на выход HDMI.,Совместимость с HDCP - Лицензионное соглашение HDCP (защита цифрового содержимого высокой четкости) позволяет защищенным от копирования данным на входе HDMI передаваться только на выход HDMI.,
en-he,it,38,True,1.0,tech-10794134.news,Musk is waiting for Trump’s return: “It was wrong to block him”,"מאסק מחכה לשובו של טראמפ: ""לא היה נכון לחסום אותו""",C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,80.73888421058655,84.57499146461487,3.8361072540283203,3.8361072540283203,0.8718507885932922,0.8718507885932922,"מאסק מחכה לחזרתו של טראמפ: ""היה זה שגוי לחסום אותו""","מאסק מחכה לחזרתו של טראמפ: ""זה היה מוטעה לחסום אותו""",
de-en,it,101,False,,,,,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C3,Claude-3-Opus,63.52599859237671,67.24490523338318,3.7189066410064697,3.7189066410064697,0.0,0.0,"Yes, I think - didn't Dominik do some experiments with Ivana? I think, last year or two years ago for Double Empty, where they took care of the context or the linking of the context with the input sentence and made some kind of translation at the document level. But the thing is, with this, with the linking, it's not quite certain if it has the same effect, since we are using the Multi-Encoder setting -","(PERSON10) Yes, I think - didn't Dominik do some experiments with Ivana? I think, last year or two years ago for Double Empty, where they took care of the context or the linking of the context with the input sentence and did some kind of document-level translation. But the thing is, with this, with the linking it's not quite certain if it has the same effect, since we are using a multi-encoder setup -",
de-en,tear,9,False,,,,,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,52.64303684234619,56.28955960273743,3.6465227603912354,3.6465227603912354,0.0,0.0,"Oh yes, I just don't know if you caught on when we were talking about [PERSON1], but one thing is that the (stroke) is better, but the other thing is that the lemmata are really correctly manually inflected, but that's, that's another, no, not a problem, it's even good that <unintelligible/> is correct, yes. So, I thought it might be. But I'm not sure if we have some test data for that, but we could try playing around with the models, with some kind of style transfer? As you know, we can use a constraint and try using a synonymous constraint instead to see or compare what the difference between the outputs is. But that's, I'm just describing it vaguely because I myself have no exact idea of how to do it, but it could have been an interesting, different scenario. I don't know, [PERSON1], do you know anything about style transfer data for English-Czech? Do we have anything there?","(PERSON3) Oh yes, I just don't know if you caught <unintelligible> when we were talking about [PERSON1], but one thing is that the (Schlag) is better, but the other thing is that the lemmas are really manually inflected correctly. But that's a different... no, not a problem, it's even good that <unintelligible> is correct, yes. So, I thought it could be. But I'm not sure if we have some test data for that, but we could try to play around with the models, with some kind of style transfer? As you know, we can use a constraint and try to use a synonymous constraint instead to see or compare how and what the difference between the outputs is. But that's... I'm just describing it vaguely because I don't have a precise idea myself of how to do it, but it could have been an interesting, different scenario. I don't know, [PERSON1], do you know anything about style transfer data for English-Czech? Do we have anything there?",
en-ru,it,43,False,,,,,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,71.78711295127869,75.28191208839417,3.4947991371154785,-5.169922113418579,0.0,0.0,"Ваш случай: Мы всегда имели наибольшую поддержку поклонников, приходящую из Вашингтона, что находится за пределами Далласа.","У нас всегда была самая большая поддержка поклонников, исходящая из Вашингтона, который находится за пределами района Далласа.",
en-de,tear,161,False,,,,,G4o,GPT-4o,C3,Claude-3-Opus,C3,Claude-3-Opus,85.48616766929626,88.80626559257507,3.3200979232788086,3.3200979232788086,1.7399709224700928,1.7399709224700928,Hat nicht mit meinem Buick LeSabre von 1999 funktioniert.,Funktionierte nicht mit meinem 1999er Buick LeSabre,
de-en,tear,115,False,,,,,G35,GPT-3.5-Turbo,GP,Gemini-Pro,C35,Claude-3.5-Sonnet,77.36620306968689,80.16322255134583,2.7970194816589355,0.7151126861572266,0.0,0.0,"I'm currently playing around with Flutter. To be honest, I would hate to build my business on Google technology, but on the other hand, Google is one of the few big players with real incentives to create a cross-platform experience, and you can see that.","Just playing around with Flutter a bit. I would hate to build my business on Google technology, to be honest. However, Google is one of the few big players with real incentives to create a compelling cross-platform experience, and it shows.",
ru-en,it,136,False,,,,,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,81.03622198104858,83.13555121421814,2.0993292331695557,1.41829252243042,0.0,0.0,"The Pope called for a ""serious international dialogue"" to defuse tensions in Ukraine.","The Pope called for ""serious international dialogue"" to defuse tensions in Ukraine.",
ru-en,it,199,False,,,,,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,75.4647433757782,77.43569612503052,1.9709527492523193,-1.4440536499023438,0.0,0.0,"Do you have any ideas why the main shuttle bay was never shown, except in these two examples?",Any ideas as to why the main shuttle bay was never shown except in these two instances?,
en-ru,tear,155,False,,,,,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C3,Claude-3-Opus,67.84088015556335,69.7523295879364,1.9114494323730469,-0.8341431617736816,0.0,0.0,"Фрэнк ДеБерри, президент и генеральный директор курорта, сказал, что все шесть мужчин имели пропуска для подъема на курорте, что означает, что они были зарегистрированы у патруля горнолыжников, прошли ориентацию по тому, как и где получить доступ к катанию вне трасс через территорию курорта и были обязаны проверить условия снега перед своим походом.","Фрэнк ДеБерри, президент и генеральный директор курорта, сказал, что у всех шести мужчин были пропуска для подъема на лыжный курорт, что означает, что они были зарегистрированы в лыжном патруле, прошли инструктаж о том, как и где получить доступ к катанию вне трасс через территорию курорта, и были обязаны проверить состояние снега перед своей экскурсией.",
ru-en,tear,75,True,0.9268,express.co.uk.29378,"Когда она начала осознавать себя, она не знала ничего, кроме ношения масок, постоянного мытья рук и поддержания дистанции.","Since she became properly aware she has known nothing but mask wearing, obsessive hand washing and keeping your distance.",C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,72.27924466133118,74.16771054267883,1.8884658813476562,1.8884658813476562,0.9311044812202454,0.9311044812202454,"When she began to become aware of herself, she knew nothing except wearing masks, constantly washing her hands, and maintaining distance.","When she began to become self-aware, she knew nothing but wearing masks, constant hand washing, and maintaining distance.",
de-en,tear,80,True,0.9565,Gwendolyn.110349819552196992,"Je mehr ich über Studien zu Sex, Geschlecht und Psychologie lese, desto eher scheint die Aussage „Ich bin männlich, mein Geschlecht ist weiblich“ vereinfacht und ungenau zu sein. Es scheint fast, als würde man einen Teil der These dem TERF überlassen. Ich denke, dass transsexuell zu sein bedeutet, „biologisch nicht-binär“ zu sein. Ich bin nicht-binär, mein Geschlecht ist weiblich.","The more I read of studies on sex, gender, psychology, the more the statement of ""My sex is male, my gender is female"" seems simplistic and inaccurate. It almost seems like ceding part of an argument to TERFs. I feel that to be trans is to be ""biologically non-binary"". My sex is non-binary, my gender is female.",G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,76.30216479301453,78.16317677497864,1.8610119819641113,1.8610119819641113,0.0,0.0,"The more I read about studies on sex, gender, and psychology, the more the statement ""I am male, my gender is female"" seems simplified and inaccurate. It almost seems as if one would leave a part of the thesis to the TERF. I think that being transsexual means to be ""biologically non-binary."" I am non-binary, my gender is female.","The more I read about studies on sex, gender, and psychology, the more the statement ""I am male, my gender is female"" seems simplified and inaccurate. It almost seems like leaving part of the argument to TERFs (Trans-Exclusionary Radical Feminists). I think being transsexual means being ""biologically non-binary."" I am non-binary, my gender is female.",
de-en,tear,5,True,1.0,peterdrake.110350524387664000,"Das wäre hauptsächlich zum Surfen im Internet, ab und zu für E-Mails und einige Spiele.","This would be mainly for web browsing, occasional email, and some games.",G35,GPT-3.5-Turbo,G4o,GPT-4o,C35,Claude-3.5-Sonnet,76.34537816047668,78.19890975952148,1.8535315990447998,-1.9910037517547607,0.8371041417121887,0.8371041417121887,"That would mainly be for internet surfing, occasionally for emails, and some games.","That would be mainly for surfing the internet, occasionally checking emails, and playing some games.",
de-en,tear,55,False,,,,,G35,GPT-3.5-Turbo,GP,Gemini-Pro,C35,Claude-3.5-Sonnet,60.75788140296936,62.49368190765381,1.7358005046844482,0.00013113021850585938,0.0,0.0,"""You don't hear that often, 'I'm just taking him to Glasgow',"" said the conductor.","""You don't hear that often, 'I'm just taking him to Glasgow,'"" said the conductor.  ",
en-de,tear,41,False,,,,,G35,GPT-3.5-Turbo,C3,Claude-3-Opus,C3,Claude-3-Opus,63.3461058139801,65.01135230064392,1.6652464866638184,1.6652464866638184,0.0,0.0,"Also, mit einem neuen #FFXIV Raid-Tier in Sicht, habe ich schon lange darüber nachgedacht: ""Mann, ich würde gerne richtiges Raiden ausprobieren, aber der Party Finder klingt wie ein Durcheinander, und ich werde nie eine Stammgruppe finden, die mich aufnimmt.""","Mit einem neuen #FFXIV-Raid-Tier in Sicht, denke ich schon lange: ""Mann, ich würde gerne richtiges Raiden ausprobieren, aber der Party Finder scheint ein einziges Durcheinander zu sein und ich werde nie eine feste Gruppe finden, die mich aufnimmt.""",
en-ru,tear,196,True,1.0,ecommerce_en_41,Posters are sent in a sturdy carded A5 envelope.,Плакаты поставляются в твердом конверте формата A5.,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C3,Claude-3-Opus,85.96042990684509,87.58081197738647,1.6203820705413818,-3.89174222946167,0.0,0.0,Плакаты отправляются в прочном картонном конверте формата A5.,Плакаты отправляются в прочном картонном конверте формата А5.,
zh-en,tear,169,False,,,,,G4o,GPT-4o,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,47.94122576713562,49.47410225868225,1.5328764915466309,1.5328764915466309,0.9037161469459534,0.9037161469459534,The sequence of 6 characters,The permutation order of 6 characters,
en-ru,it,29,True,1.0,en_fr_CLIENT-02_default_2020-12-27-14_doc04,Tap Accounts.,Нажмите «Учетные записи».,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,47.20223546028137,48.69757294654846,1.4953374862670898,1.4953374862670898,1.5424867868423462,1.5424867868423462,Ваш случай: Источник: Нажмите на учетные записи.,Нажмите «Счета».,
ru-en,tear,180,True,1.0,en_fr_CLIENT-02_default_2020-12-27-11_doc03,Нажмите «Настройки».,Tap Settings.,C35,Claude-3.5-Sonnet,GP,Gemini-Pro,C35,Claude-3.5-Sonnet,77.92970538139343,79.33332920074463,1.4036238193511963,0.0,3.895416736602783,3.895416736602783,"Click ""Settings"".",Press Settings.,
en-he,tear,187,False,,,,,G35,GPT-3.5-Turbo,G4o,GPT-4o,G4o,GPT-4o,93.15199255943298,94.49962377548218,1.3476312160491943,1.3476312160491943,0.0,0.0,"לופז נפרדה משחקן הבייסבול, אלכס רודריגז, באפריל 2021","לופז נפרדה משחקן הבייסבול, אלכס רודריגז, באפריל 2021.",
en-zh,tear,1,True,1.0,sports-1-zh_0749906-157,Tell me at least whether it's nice or awful!,你好歹告诉一声，到底是好的还是坏的啊！,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,74.87133145332336,76.213139295578,1.3418078422546387,1.3418078422546387,0.0,0.0,请告诉我至少是好还是糟糕！,至少告诉我它是好还是糟糕吧！,
en-de,tear,82,True,1.0,Gwendolyn.110349819552196992,Been toying with this thought for a little while:,Mit diesem Gedanken schon eine Weile gespielt:,G35,GPT-3.5-Turbo,G4o,GPT-4o,C3,Claude-3-Opus,79.83004450798035,81.06041550636292,1.2303709983825684,-9.0268075466156,2.5288453102111816,2.5288453102111816,Habe eine Weile mit diesem Gedanken gespielt.,Habe schon eine Weile mit diesem Gedanken gespielt.,
de-en,it,184,True,0.9545,imtheq.110350767978472992,In meiner Jugend war ich ein unersättlicher Leser. Dann hat das Leben meine Seele zerstört und ich habe all meine Leidenschaft für Literatur und tolle Erzählungen verloren.,"I was a voracious reader in my youth. Then, life crushed my soul and I lost all my passion for fiction and great storytelling.",G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C3,Claude-3-Opus,76.9262969493866,77.83089876174927,0.9046018123626709,-2.9802322387695312e-05,0.0,0.0,"In my youth, I was an insatiable reader. Then life destroyed my soul and I lost all my passion for literature and great stories.","In my youth, I was an insatiable reader. Then life destroyed my soul, and I lost all my passion for literature and great stories.",
zh-en,it,4,False,,,,,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,75.05508661270142,75.93773007392883,0.882643461227417,0.882643461227417,0.0,0.0,"Xi Jinping's reply encourages the members of the Chinese medical team in Africa to benefit the local people with compassion and medical skills, and to tell the Chinese story with practical actions.","Xi Jinping replies to letter encouraging Chinese medical team members in Africa to benefit local people with their benevolent hearts and medical skills, and tell China's story through practical actions",
ru-en,tear,190,False,,,,,G35,GPT-3.5-Turbo,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,78.81568670272827,79.58626747131348,0.7705807685852051,0.7705807685852051,0.0,0.0,Scholz and Morawiecki will also discuss complex bilateral relations with the new government of Germany.,Scholz and Morawiecki will also discuss complex bilateral relations with the new German government.,
ru-en,it,111,False,,,,,G4o,GPT-4o,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,82.60102272033691,83.03365707397461,0.4326343536376953,0.4326343536376953,2.797304928302765,2.797304928302765,"Recently, I had a patient who needed a very specific procedure on his knee to walk normally and improve his quality of life.","Recently, I had a patient who needed a very specific knee procedure to walk normally and improve their quality of life.",
ru-en,it,192,True,1.0,ecommerce_en_26,"Информация и заявления о продуктах не предназначены для использования в качестве диагноза, лечения или профилактики какого-либо заболевания или состояния здоровья.","Information and statements about products are not intended to be used to diagnose, treat, cure, or prevent any disease or health condition.",C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,C35,Claude-3.5-Sonnet,86.81138157844543,87.23397850990295,0.42259693145751953,0.42259693145751953,0.9329829812049866,0.9329829812049866,"Information and statements about products are not intended to be used as a diagnosis, treatment or prevention of any disease or health condition.","Information and statements about products are not intended to be used as a diagnosis, treatment, or prevention of any disease or health condition.",
ru-en,tear,104,True,1.0,en_fr_CLIENT-02_default_2020-12-27-11_doc03,Нажмите «Настройки».,Tap Settings.,G35,GPT-3.5-Turbo,GP,Gemini-Pro,C35,Claude-3.5-Sonnet,77.92944312095642,78.2975971698761,0.36815404891967773,-0.00015497207641601562,0.0,0.0,"Click ""Settings"".","## Click ""Settings"".  ",
ru-en,it,165,False,,,,,C3,Claude-3-Opus,GP,Gemini-Pro,C35,Claude-3.5-Sonnet,80.26064038276672,80.46924471855164,0.2086043357849121,-0.24744868278503418,1.784610629081726,1.784610629081726,"I also checked my iPad and it turned out that AM uses only 15 GB for documents and data, but even that is unacceptable.","I also checked my iPad and it turned out that AM only uses 15 GB for documents and data, but even that is unacceptable.",
ru-en,tear,179,True,1.0,t3_qdm51k,Много лет назад я работал в мебельной мастерской.,"Years ago, I worked at a cabinet shop.",G4o,GPT-4o,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,75.17418265342712,75.36944150924683,0.19525885581970215,0.0,1.9421679973602295,1.9421679973602295,"Many years ago, I worked in a furniture workshop.",Many years ago I worked in a furniture workshop.,
zh-en,tear,90,False,,,,,G35,GPT-3.5-Turbo,G4o,GPT-4o,C35,Claude-3.5-Sonnet,72.15123176574707,72.29271531105042,0.14148354530334473,-5.134522914886475,0.0,0.0,The technician who changed the oil said the oil is clear and indeed good oil.,The technician who changed the oil said it was clear and indeed good oil.,
en-zh,tear,145,True,1.0,xm-2,Note:,注意,C35,Claude-3.5-Sonnet,C3,Claude-3-Opus,C35,Claude-3.5-Sonnet,81.44620656967163,81.44620656967163,0.0,0.0,0.8574299812316895,0.8463170528411865,注意：,注意:,
